input_size,comp,swap,basic,time,mem
8494,395232,197616,2233236,182643583,150636
8495,394306,197153,2228150,179997917,151468
8496,392928,196464,2220578,179528250,151148
8497,393630,196815,2224446,169817750,150220
8498,397584,198792,2246200,169692292,150956
8499,393642,196821,2224526,167722416,151436
8500,398834,199417,2253089,173954000,151468
8501,394418,197209,2228808,170431333,151084
8502,391376,195688,2212084,172417209,151148
8503,394338,197169,2228382,172566833,150572
8504,399906,199953,2259013,175437541,150956
8505,398098,199049,2249076,174137291,151852
8506,394168,197084,2227468,173096334,151692
8507,398860,199430,2253281,176988333,151404
8508,400076,200038,2259976,178356292,151052
8509,394850,197425,2231240,174394542,151116
8510,400518,200259,2262421,177621416,151148
8511,397022,198511,2243200,175798375,151276
8512,400582,200291,2262787,178991750,150604
8513,395650,197825,2235668,175494125,151884
8514,396872,198436,2242396,174070083,151020
8515,394898,197449,2231546,172088042,151628
8516,399046,199523,2254367,174420375,150764
8517,393884,196942,2225983,174897000,151212
8518,402228,201114,2271882,177672792,151756
8519,395578,197789,2235314,175660250,151340
8520,398234,199117,2249929,177178083,151980
8521,399660,199830,2257779,175064458,151308
8522,395652,197826,2235742,174363125,151628
8523,399146,199573,2254966,180368125,151020
8524,390774,195387,2208927,179586750,151628
8525,397668,198834,2246851,180802667,151308
8526,401828,200914,2269738,177206458,152172
8527,399084,199542,2254653,178678000,151436
8528,403858,201929,2280917,179015000,150924
8529,399280,199640,2255745,182587084,151244
8530,397676,198838,2246930,185416000,151020
8531,399718,199859,2258168,183099708,152236
8532,393932,196966,2226352,185137708,151148
8533,400166,200083,2260646,193939083,151436
8534,404230,202115,2283005,184894583,151404
8535,397790,198895,2247592,175073792,151468
8536,401438,200719,2267663,177236792,151404
8537,393896,196948,2226189,173348125,151788
8538,396998,198499,2243257,175640583,151692
8539,392932,196466,2220901,173749042,151532
8540,404174,202087,2282739,182939875,150380
8541,398464,199232,2251341,184079625,150700
8542,398560,199280,2251876,184321542,151532
8543,399426,199713,2256646,181644792,151852
8544,395998,197999,2237799,182816250,152204
8545,405454,202727,2289814,187105375,151308
8546,400948,200474,2265038,184969708,152236
8547,401526,200763,2268224,187276041,151532
8548,402428,201214,2273192,189943958,151820
8549,398738,199369,2252904,190446708,151628
8550,399292,199646,2255958,194554000,151148
8551,400818,200409,2264358,191683708,152300
8552,399448,199724,2256830,190399333,151788
8553,405066,202533,2287736,196732666,151244
8554,403294,201647,2277997,193782666,151692
8555,401628,200814,2268841,193684541,151180
8556,400596,200298,2263172,452859708,151884
8557,403032,201516,2276577,195594000,152044
8558,405232,202616,2288684,197152125,151340
8559,397454,198727,2245912,198930917,151692
8560,406490,203245,2295617,209629625,151788
8561,400532,200266,2262855,199700708,151212
8562,402850,201425,2275611,196290084,151628
8563,401300,200650,2267093,195952542,151500
8564,402324,201162,2272732,199523667,151148
8565,403054,201527,2276754,199877375,152396
8566,403652,201826,2280050,201638125,152012
8567,400266,200133,2261434,218299708,152012
8568,396830,198415,2242543,206623875,151724
8569,399388,199694,2256619,212243167,151436
8570,408818,204409,2308491,212200167,152268
8571,401488,200744,2268183,209989917,152076
8572,397716,198858,2247444,205396917,151500
8573,397752,198876,2247649,206812875,150988
8574,402768,201384,2275244,212542041,152268
8575,399788,199894,2258861,206572625,151212
8576,404160,202080,2282914,210623875,151500
8577,405326,202663,2289334,211841417,151948
8578,402456,201228,2273556,209001291,152428
8579,406384,203192,2295167,211635917,152396
8580,404838,202419,2286671,208563041,152588
8581,406924,203462,2298151,210310125,152332
8582,404592,202296,2285332,210343125,152460
8583,404922,202461,2287154,208347250,152556
8584,404232,202116,2283366,207263125,151852
8585,402224,201112,2272329,207891625,151468
8586,407510,203755,2301409,210275625,151724
8587,403746,201873,2280714,207422292,152268
8588,410502,205251,2317879,212053458,152364
8589,408066,204033,2304488,215645708,151884
8590,397408,198704,2245876,214416333,151820
8591,405720,202860,2291599,217631250,152076
8592,404442,202221,2284577,217157916,151916
8593,406384,203192,2295265,627598375,151852
8594,410912,205456,2320176,210992792,151852
8595,406244,203122,2294509,207897625,151980
8596,405732,202866,2291700,212917459,151788
8597,401682,200841,2269432,208622250,151660
8598,402078,201039,2271617,205747584,151948
8599,405072,202536,2288091,209792917,152204
8600,402504,201252,2273974,208500375,152012
8601,407358,203679,2300678,210533250,152172
8602,405644,202822,2291258,211790042,152524
8603,412094,206047,2326740,212218833,151948
8604,405288,202644,2289314,207370541,152140
8605,403296,201648,2278365,208138208,151596
8606,403782,201891,2281045,209331791,152236
8607,402698,201349,2275090,208531167,152332
8608,403216,201608,2277946,206894875,152684
8609,413854,206927,2336462,213089875,151724
8610,406896,203448,2298200,207901125,152172
8611,407086,203543,2299252,213801209,151852
8612,408720,204360,2308246,214173625,152620
8613,404814,202407,2286770,209225292,152140
8614,406238,203119,2294609,209759625,151884
8615,408886,204443,2309180,216192917,152812
8616,409714,204857,2313741,208884208,152652
8617,410228,205114,2316575,210017250,151724
8618,411706,205853,2324711,209984917,151948
8619,407398,203699,2301024,207730500,151532
8620,405944,202972,2293034,214424875,152908
8621,409314,204657,2311576,217691791,151820
8622,414622,207311,2340777,213094958,152876
8623,407978,203989,2304242,212284750,151884
8624,409510,204755,2312675,207616042,152236
8625,405384,202692,2289989,207887750,151980
8626,407606,203803,2302217,209567125,152236
8627,410428,205214,2317745,218179542,152044
8628,410148,205074,2316212,209801041,152428
8629,404636,202318,2285903,214349875,151436
8630,412700,206350,2330262,212629750,151788
8631,411586,205793,2324142,210594166,152204
8632,409008,204504,2309970,209453333,152652
8633,404278,202139,2283962,205802875,151916
8634,410702,205351,2319301,211677916,152012
8635,414636,207318,2340945,210725500,152300
8636,408500,204250,2307204,207761750,151436
8637,408810,204405,2308916,209223542,152076
8638,403590,201795,2280213,206542375,151916
8639,414920,207460,2342535,213936250,152524
8640,404836,202418,2287080,211114709,151916
8641,414288,207144,2339073,210640375,151660
8642,412048,206024,2326760,483169000,151948
8643,412814,206407,2330980,208274875,152748
8644,408236,204118,2305808,208186916,152300
8645,406418,203209,2295816,206568667,152300
8646,407938,203969,2304183,210284333,152332
8647,408420,204210,2306841,213488959,151660
8648,410894,205447,2320455,214560250,153100
8649,407572,203786,2302191,206866333,153284
8650,403782,201891,2281353,206595542,152580
8651,401318,200659,2267808,207501666,152196
8652,407764,203882,2303268,209904167,152932
8653,405340,202670,2289943,206529917,152580
8654,402552,201276,2274616,205235208,152772
8655,405866,202933,2292850,207615666,152292
8656,409496,204748,2312822,209296375,152324
8657,407162,203581,2299992,208714833,152900
8658,405704,202852,2291980,208542500,152004
8659,404306,202153,2284298,207057583,152868
8660,406374,203187,2295679,210679208,152708
8661,408328,204164,2306433,210187625,152900
8662,407412,203706,2301402,208632667,152324
8663,401092,200546,2266649,206755500,153028
8664,406118,203059,2294299,206158125,153636
8665,408868,204434,2309431,208318084,153156
8666,408106,204053,2305247,192714375,152228
8667,408304,204152,2306343,191878084,152836
8668,413408,206704,2334422,199957959,152324
8669,408894,204447,2309602,199372917,153284
8670,410430,205215,2318057,200635875,152740
8671,407568,203784,2302323,198818792,152996
8672,404450,202225,2285181,199203875,153316
8673,407592,203796,2302469,202616584,153380
8674,407836,203918,2303818,203638209,153124
8675,408602,204301,2308038,201899417,152868
8676,409708,204854,2314128,199745791,152740
8677,413788,206894,2336575,624038042,153060
8678,411738,205869,2325307,644875292,153220
8679,411312,205656,2322971,207616458,152516
8680,411970,205985,2326597,604558000,153124
8681,413282,206641,2333820,203066416,153028
8682,407240,203620,2300596,206590084,152580
8683,409368,204684,2312307,221157417,152964
8684,403680,201840,2281030,214122625,153156
8685,405558,202779,2291366,213514459,152964
8686,407198,203599,2300393,206063083,152772
8687,409178,204589,2311290,206304458,152900
8688,411846,205923,2325971,204955208,152900
8689,413664,206832,2335977,206606084,153092
8690,413718,206859,2336281,211118416,153348
8691,410060,205030,2316169,206498916,152580
8692,414490,207245,2340541,207824583,153636
8693,407854,203927,2304050,205864958,152676
8694,404888,202444,2287744,203088542,152836
8695,408950,204475,2310092,204078042,152388
8696,407752,203876,2303510,203817459,152644
8697,417264,208632,2355833,209883458,152836
8698,413928,206964,2337492,204924459,154084
8699,410578,205289,2319074,204515375,152644
8700,410638,205319,2319411,199107458,152484
8701,409570,204785,2313544,198011916,152900
8702,413498,206749,2335155,197988916,152964
8703,406790,203395,2298268,194995250,153060
8704,406900,203450,2298880,191462917,153380
8705,410352,205176,2317873,196766708,153412
8706,412082,206041,2327395,193036291,153700
8707,407588,203794,2302685,192266334,153092
8708,411692,205846,2325264,194682542,153188
8709,407888,203944,2304349,193413541,154244
8710,413308,206654,2334166,212013625,152516
8711,409088,204544,2310963,208518667,152932
8712,407644,203822,2303028,210304625,152996
8713,411082,205541,2321944,211602083,152996
8714,409696,204848,2314328,211039791,153796
8715,408072,204036,2305403,206900209,152996
8716,411040,205520,2321734,208749542,153156
8717,412520,206260,2329881,211199417,153732
8718,414794,207397,2342395,210869666,153156
8719,415408,207704,2345779,198316916,153316
8720,413282,206641,2334093,195986958,152740
8721,415342,207671,2345430,192077666,153700
8722,408220,204110,2306266,192071084,152740
8723,413022,206511,2332684,191673375,153732
8724,416886,208443,2353943,195014917,153252
8725,408652,204326,2308663,192274375,153508
8726,414220,207110,2339294,194734542,153252
8727,411616,205808,2324979,193728292,153316
8728,408086,204043,2305571,191744125,153028
8729,415210,207605,2344760,193445958,153796
8730,414952,207476,2343348,194900875,152932
8731,408804,204402,2309541,191918750,152804
8732,415230,207615,2344891,193703250,153796
8733,414034,207017,2338320,197462792,153092
8734,410444,205222,2318582,195793042,153668
8735,411124,205562,2322329,196913541,153700
8736,415756,207878,2347812,194541708,153636
8737,410532,205266,2319087,192377000,152836
8738,416526,208263,2352061,194364459,154020
8739,416374,208187,2351232,199867208,153700
8740,414866,207433,2342945,195835500,152964
8741,417358,208679,2356658,197013250,153860
8742,418394,209197,2362363,204311917,153348
8743,415612,207806,2347069,200918958,154276
8744,411916,205958,2326748,195817791,152996
8745,413696,206848,2336545,196051250,153764
8746,418836,209418,2364822,196710625,152708
8747,413656,206828,2336339,197162750,154020
8748,412826,206413,2331781,194181000,153252
8749,417084,208542,2355207,208500583,153796
8750,409262,204631,2312193,211709667,153828
8751,416106,208053,2349842,217069000,153572
8752,417000,208500,2354766,216762584,153540
8753,419768,209884,2369997,218186541,152900
8754,414970,207485,2343615,213728166,153380
8755,417786,208893,2359110,216813542,154148
8756,416460,208230,2351824,214266708,153860
8757,411800,205900,2326201,213214208,153636
8758,415726,207863,2347801,216465750,153348
8759,420260,210130,2372745,220191375,153156
8760,417530,208765,2357737,213863666,153988
8761,415538,207769,2346788,215761875,154148
8762,414728,207364,2342340,211840500,153892
8763,425236,212618,2400141,216814000,153444
8764,416126,208063,2350043,214329167,153252
8765,418452,209226,2362843,212934583,153668
8766,414760,207380,2342544,216016417,153892
8767,418710,209355,2364276,215613125,153156
8768,419302,209651,2367539,212933708,154244
8769,415420,207710,2346195,211037209,153476
8770,422714,211357,2386319,220058333,153764
8771,418974,209487,2365756,210671333,153860
8772,415880,207940,2348746,201025167,154340
8773,417084,208542,2355375,196175291,153860
8774,415520,207760,2346780,196465500,152996
8775,417022,208511,2355048,199181583,153508
8776,418688,209344,2364218,198461916,153956
8777,426080,213040,2404881,217684166,153348
8778,416146,208073,2350251,218588792,154340
8779,417146,208573,2355758,221424625,153860
8780,427024,213512,2410094,223555292,154148
8781,421770,210885,2381204,224910833,153508
8782,420686,210343,2375249,224125083,153732
8783,423510,211755,2390788,226790959,153316
8784,420586,210293,2374713,223257750,153284
8785,417446,208723,2357450,220455708,154532
8786,415244,207622,2345346,219891166,154564
8787,422096,211048,2383039,222132333,154436
8788,419246,209623,2367371,217101958,154468
8789,416246,208123,2350878,222449625,154276
8790,423168,211584,2388956,221830291,154340
8791,421750,210875,2381164,221868709,153892
8792,420960,210480,2376826,222066500,154628
8793,423008,211504,2388097,221405834,153956
8794,418530,209265,2363475,221454292,153604
8795,421810,210905,2381522,222493750,153828
8796,421170,210585,2378009,219860584,154116
8797,421416,210708,2379369,223778709,153924
8798,420014,210007,2371665,219109708,153988
8799,421034,210517,2377282,215052958,154276
8800,423794,211897,2392469,223799416,154628
8801,420152,210076,2372445,216548125,153764
8802,424228,212114,2394870,219702416,153860
8803,415384,207692,2346235,215811792,154628
8804,420926,210463,2376723,219318667,153380
8805,418076,209038,2361055,220628208,153860
8806,421236,210618,2378442,221416584,154436
8807,418666,209333,2364314,220431000,153604
8808,421926,210963,2382251,217522709,153764
8809,416302,208151,2351326,213570209,154180
8810,425218,212609,2400371,221411750,154148
8811,418468,209234,2363253,211718083,153316
8812,422540,211270,2385656,215894541,154628
8813,415820,207910,2348703,215997375,154468
8814,422866,211433,2387463,217759542,153764
8815,415244,207622,2345549,212610625,154532
8816,416246,208123,2351067,213279209,153956
8817,419720,209860,2370181,214591959,153732
8818,418188,209094,2361762,213048084,154052
8819,419460,209730,2368765,202510166,154052
8820,419466,209733,2368805,196962208,154276
8821,427014,213507,2410326,205702583,154404
8822,423642,211821,2391787,200654542,153604
8823,422606,211303,2386096,200104542,154084
8824,418418,209209,2363069,200971375,154276
8825,427472,213736,2412873,208435333,154564
8826,421148,210574,2378098,205462417,154436
8827,424316,212158,2395529,208980250,153444
8828,422580,211290,2385988,208610792,154372
8829,421496,210748,2380033,220096541,153668
8830,422444,211222,2385254,214609417,153412
8831,427828,213914,2414873,221384708,153476
8832,425802,212901,2403737,222751208,154468
8833,426868,213434,2409607,222582583,154404
8834,430530,215265,2429755,229157292,154436
8835,422766,211383,2387060,222806833,154436
8836,417092,208546,2355860,223232041,154556
